Ano;Mês/Ano;Estado;Bacia;Campo;Poço;Ambiente;Instalação;Produção de Óleo (m³);Produção de Condensado (m³);Produção de Gás Associado (Mm³);Produção de Gás Não Associado (Mm³);Produção de Água (m³);Injeção de Gás (Mm³);Injeção de Água para Recuperação Secundária (m³);Injeção de Água para Descarte (m³);Injeção de Gás Carbônico (Mm³);Injeção de Nitrogênio (Mm³);Injeção de Vapor de Água (t);Injeção de Polímeros (m³);Injeção de Outros Fluidos (m³)
2021;07/2021;Alagoas;Alagoas;PARU;4-ALS-39-AL;Mar;Estação de Paru;0;283;935;0;4478;79597;90;25;;;;;
2021;07/2021;Bahia;Camamu;MANATI;7-MNT-1-BAS;Mar;PLATAFORMA DE MANATI 1;0;295;477;0;16287;32898;89;583;;;;;
2021;07/2021;Bahia;Camamu;MANATI;7-MNT-2-BAS;Mar;PLATAFORMA DE MANATI 1;0;348;49;0;17933;691;96;469;;;;;
2021;07/2021;Bahia;Camamu;MANATI;7-MNT-3-BAS;Mar;PLATAFORMA DE MANATI 1;0;303;617;0;13244;46728;75;44;;;;;
2021;07/2021;Bahia;Camamu;MANATI;7-MNT-4-BAS;Mar;PLATAFORMA DE MANATI 1;0;81;844;0;5447;7003;32;138;;;;;
2021;07/2021;Bahia;Camamu;MANATI;7-MNT-5D-BAS;Mar;PLATAFORMA DE MANATI 1;0;176;602;0;21024;43227;89;556;;;;;
2021;07/2021;Bahia;Camamu;MANATI;7-MNT-6D-BAS;Mar;PLATAFORMA DE MANATI 1;0;191;812;0;24084;23206;100;822;;;;;
2021;07/2021;Bahia;Recôncavo;CANDEIAS;7-C-173D-BA;Mar;Estação Pedra Branca;45;952;0;28;47747;0;0;;;;;;
2021;07/2021;Bahia;Recôncavo;CANDEIAS;7-C-174D-BA;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Bahia;Recôncavo;CANDEIAS;7-C-197D-BA;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Bahia;Recôncavo;CANDEIAS;7-C-201D-BA;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Bahia;Recôncavo;CANDEIAS;7-C-202D-BA;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Bahia;Recôncavo;CANDEIAS;7-C-203D-BA;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Bahia;Recôncavo;CANDEIAS;7-C-211D-BA;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Bahia;Recôncavo;CANDEIAS;7-C-212D-BA;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Bahia;Recôncavo;DOM JOÃO;7-DJM-854H-BAS;Mar;Estação Marapé (Dom João Mar);279;23312;0;9;57761;0;2098;28915;;;;;
2021;07/2021;Bahia;Recôncavo;DOM JOÃO;7-DJM-856H-BAS;Mar;Estação Marapé (Dom João Mar);400;32389;0;3;88303;0;4999;15798;;;;;
2021;07/2021;Bahia;Recôncavo;DOM JOÃO;8-DJ-811H-BAS;Mar;Estação Marapé (Dom João Mar);;;;;;0;1948;51854;0;0;0;0;0
2021;07/2021;Bahia;Recôncavo;DOM JOÃO;8-DJM-858H-BAS;Mar;Estação Marapé (Dom João Mar);;;;;;0;2771;98753;0;0;0;0;0
2021;07/2021;Bahia;Recôncavo;DOM JOÃO;8-DJM-881H-BAS;Mar;Estação Marapé (Dom João Mar);168;57219;0;3;96128;0;656;34153;;;;;
2021;07/2021;Bahia;Recôncavo;DOM JOÃO MAR;7-DJM-854H-BAS;Mar;Estação Marapé (Dom João Mar);40;80488;0;1;39948;0;306;62685;;;;;
2021;07/2021;Bahia;Recôncavo;DOM JOÃO MAR;7-DJM-856H-BAS;Mar;Estação Marapé (Dom João Mar);58;50011;0;0;5673;0;730;53602;;;;;
2021;07/2021;Bahia;Recôncavo;DOM JOÃO MAR;7-DJM-857H-BAS;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Bahia;Recôncavo;DOM JOÃO MAR;7-DJM-882H-BAS;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Bahia;Recôncavo;DOM JOÃO MAR;8-DJ-811H-BAS;Mar;Estação Marapé (Dom João Mar);;;;;;0;284;74046;0;0;0;0;0
2021;07/2021;Bahia;Recôncavo;DOM JOÃO MAR;8-DJM-858H-BAS;Mar;Estação Marapé (Dom João Mar);;;;;;0;405;7547;0;0;0;0;0
2021;07/2021;Bahia;Recôncavo;DOM JOÃO MAR;8-DJM-881H-BAS;Mar;Estação Marapé (Dom João Mar);24;63381;0;0;57872;0;95;91247;;;;;
2021;07/2021;Ceará;Ceará;ATUM;3-AT-8-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;ATUM;3-CES-83-CE;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;ATUM;3-CES-86D-CE;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;ATUM;7-AT-10D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;ATUM;7-AT-13D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;ATUM;7-AT-16D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;ATUM;7-AT-17D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;ATUM;7-AT-18D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;ATUM;7-AT-19D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;ATUM;7-AT-21DP-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;ATUM;7-AT-22DP-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;ATUM;7-AT-2D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;ATUM;7-AT-4D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;ATUM;7-AT-6D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;ATUM;7-AT-7D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;ATUM;7-CES-84D-CE;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;ATUM;8-AT-11D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;ATUM;8-AT-12D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;CURIMÃ;7-CR-11D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;CURIMÃ;7-CR-14D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;CURIMÃ;7-CR-17D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;CURIMÃ;7-CR-21D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;CURIMÃ;7-CR-22D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;CURIMÃ;7-CR-24D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;CURIMÃ;7-CR-28HP-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;CURIMÃ;7-CR-2D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;CURIMÃ;7-CR-4D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;CURIMÃ;7-CR-6D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;CURIMÃ;7-CR-7D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;CURIMÃ;8-CR-13D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;ESPADA;3-CES-37D-CE;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;ESPADA;3-CES-38D-CE;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;ESPADA;7-EP-2D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;ESPADA;7-EP-3D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;ESPADA;7-EP-4D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;ESPADA;7-EP-7D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;ESPADA;7-EP-8DP-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;XARÉU;7-XA-10D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;XARÉU;7-XA-11D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;XARÉU;7-XA-12D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;XARÉU;7-XA-13D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;XARÉU;7-XA-14-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;XARÉU;7-XA-15D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2021;07/2021;Ceará;Ceará;XARÉU;7-XA-17D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
