Ano;Mês/Ano;Estado;Bacia;Campo;Poço;Ambiente;Instalação;Produção de Óleo (m³);Produção de Condensado (m³);Produção de Gás Associado (Mm³);Produção de Gás Não Associado (Mm³);Produção de Água (m³);Injeção de Gás (Mm³);Injeção de Água para Recuperação Secundária (m³);Injeção de Água para Descarte (m³);Injeção de Gás Carbônico (Mm³);Injeção de Nitrogênio (Mm³);Injeção de Vapor de Água (t);Injeção de Polímeros (m³);Injeção de Outros Fluidos (m³)
2022;02/2022;Alagoas;Alagoas;PARU;4-ALS-39-AL;Mar;Estação de Paru;0;243;2902;0;2163;47713;5;1454;;;;;
2022;02/2022;Bahia;Camamu;MANATI;7-MNT-1-BAS;Mar;PLATAFORMA DE MANATI 1;0;193;141;0;13132;62429;81;422;;;;;
2022;02/2022;Bahia;Camamu;MANATI;7-MNT-2-BAS;Mar;PLATAFORMA DE MANATI 1;0;196;579;0;13123;35597;81;365;;;;;
2022;02/2022;Bahia;Camamu;MANATI;7-MNT-3-BAS;Mar;PLATAFORMA DE MANATI 1;0;146;435;0;8814;26659;58;173;;;;;
2022;02/2022;Bahia;Camamu;MANATI;7-MNT-4-BAS;Mar;PLATAFORMA DE MANATI 1;0;204;467;0;13902;72434;93;146;;;;;
2022;02/2022;Bahia;Camamu;MANATI;7-MNT-5D-BAS;Mar;PLATAFORMA DE MANATI 1;0;125;9;0;17779;56493;80;7;;;;;
2022;02/2022;Bahia;Camamu;MANATI;7-MNT-6D-BAS;Mar;PLATAFORMA DE MANATI 1;0;186;646;0;17572;6464;91;375;;;;;
2022;02/2022;Bahia;Recôncavo;CANDEIAS;7-C-173D-BA;Mar;Estação Pedra Branca;56;5;0;42;8722;0;0;692;;;;;
2022;02/2022;Bahia;Recôncavo;CANDEIAS;7-C-174D-BA;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Bahia;Recôncavo;CANDEIAS;7-C-197D-BA;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Bahia;Recôncavo;CANDEIAS;7-C-201D-BA;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Bahia;Recôncavo;CANDEIAS;7-C-202D-BA;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Bahia;Recôncavo;CANDEIAS;7-C-203D-BA;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Bahia;Recôncavo;CANDEIAS;7-C-211D-BA;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Bahia;Recôncavo;CANDEIAS;7-C-212D-BA;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Bahia;Recôncavo;DOM JOÃO;7-DJM-854H-BAS;Mar;Estação Marapé (Dom João Mar);295;5853;0;10;1204;0;2727;47508;;;;;
2022;02/2022;Bahia;Recôncavo;DOM JOÃO;7-DJM-856H-BAS;Mar;Estação Marapé (Dom João Mar);171;99589;0;1;66823;0;3686;75834;;;;;
2022;02/2022;Bahia;Recôncavo;DOM JOÃO;8-DJ-811H-BAS;Mar;Estação Marapé (Dom João Mar);;;;;;0;1962;26632;0;0;0;0;0
2022;02/2022;Bahia;Recôncavo;DOM JOÃO;8-DJM-858H-BAS;Mar;Estação Marapé (Dom João Mar);;;;;;0;2313;98524;0;0;0;0;0
2022;02/2022;Bahia;Recôncavo;DOM JOÃO;8-DJM-881H-BAS;Mar;Estação Marapé (Dom João Mar);114;92739;0;2;70064;0;1498;22466;;;;;
2022;02/2022;Bahia;Recôncavo;DOM JOÃO MAR;7-DJM-854H-BAS;Mar;Estação Marapé (Dom João Mar);43;11747;0;1;47879;0;398;57092;;;;;
2022;02/2022;Bahia;Recôncavo;DOM JOÃO MAR;7-DJM-856H-BAS;Mar;Estação Marapé (Dom João Mar);25;13411;0;0;24363;0;538;75266;;;;;
2022;02/2022;Bahia;Recôncavo;DOM JOÃO MAR;7-DJM-857H-BAS;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Bahia;Recôncavo;DOM JOÃO MAR;7-DJM-882H-BAS;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Bahia;Recôncavo;DOM JOÃO MAR;8-DJ-811H-BAS;Mar;Estação Marapé (Dom João Mar);;;;;;0;286;74968;0;0;0;0;0
2022;02/2022;Bahia;Recôncavo;DOM JOÃO MAR;8-DJM-858H-BAS;Mar;Estação Marapé (Dom João Mar);;;;;;0;338;14676;0;0;0;0;0
2022;02/2022;Bahia;Recôncavo;DOM JOÃO MAR;8-DJM-881H-BAS;Mar;Estação Marapé (Dom João Mar);16;79461;0;0;39452;0;218;93834;;;;;
2022;02/2022;Ceará;Ceará;ATUM;3-AT-8-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;ATUM;3-CES-83-CE;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;ATUM;3-CES-86D-CE;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;ATUM;7-AT-10D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;ATUM;7-AT-13D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;ATUM;7-AT-16D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;ATUM;7-AT-17D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;ATUM;7-AT-18D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;ATUM;7-AT-19D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;ATUM;7-AT-21DP-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;ATUM;7-AT-22DP-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;ATUM;7-AT-2D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;ATUM;7-AT-4D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;ATUM;7-AT-6D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;ATUM;7-AT-7D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;ATUM;7-CES-84D-CE;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;ATUM;8-AT-11D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;ATUM;8-AT-12D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;CURIMÃ;7-CR-11D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;CURIMÃ;7-CR-14D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;CURIMÃ;7-CR-17D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;CURIMÃ;7-CR-21D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;CURIMÃ;7-CR-22D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;CURIMÃ;7-CR-24D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;CURIMÃ;7-CR-28HP-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;CURIMÃ;7-CR-2D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;CURIMÃ;7-CR-4D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;CURIMÃ;7-CR-6D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;CURIMÃ;7-CR-7D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;CURIMÃ;8-CR-13D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;ESPADA;3-CES-37D-CE;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;ESPADA;3-CES-38D-CE;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;ESPADA;7-EP-2D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;ESPADA;7-EP-3D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;ESPADA;7-EP-4D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;ESPADA;7-EP-7D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;ESPADA;7-EP-8DP-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-10D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-11D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-12D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-13D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-14-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-15D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-17D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-1D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-20D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-21D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-22D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-24D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-28D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-31D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-36HP-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-38HP-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-39HP-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-3D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-4D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-8D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-9-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;8-XA-25D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Espírito Santo;Campos;ABALONE;7-ABA-2D-ESS;Mar;FPSO ESPIRITO SANTO;0;0;0;0;0;;;;;;;;
2022;02/2022;Espírito Santo;Campos;ARGONAUTA;7-ARGO-10H-ESS;Mar;FPSO ESPIRITO SANTO;8519;1831;0;554;75003;0;28241;62195;;;;;
2022;02/2022;Espírito Santo;Campos;ARGONAUTA;7-ARGO-13H-ESS;Mar;FPSO ESPIRITO SANTO;17758;88047;0;941;96498;0;28280;61593;;;;;
2022;02/2022;Espírito Santo;Campos;ARGONAUTA;7-ARGO-14H-ESS;Mar;FPSO ESPIRITO SANTO;8308;13342;0;530;3645;0;22986;29422;;;;;
2022;02/2022;Espírito Santo;Campos;ARGONAUTA;7-ARGO-17H-ESS;Mar;FPSO ESPIRITO SANTO;11;20505;0;1;23627;0;1901;58484;;;;;
2022;02/2022;Espírito Santo;Campos;ARGONAUTA;7-ARGO-18H-ESS;Mar;FPSO ESPIRITO SANTO;3906;92472;0;166;6709;0;4196;12104;;;;;
2022;02/2022;Espírito Santo;Campos;ARGONAUTA;7-ARGO-19H-ESS;Mar;FPSO ESPIRITO SANTO;10218;85348;0;556;11431;0;14581;13157;;;;;
2022;02/2022;Espírito Santo;Campos;ARGONAUTA;7-ARGO-20H-ESS;Mar;FPSO ESPIRITO SANTO;10748;63106;0;961;6007;0;6520;66045;;;;;
2022;02/2022;Espírito Santo;Campos;ARGONAUTA;7-ARGO-2H-ESS;Mar;FPSO ESPIRITO SANTO;1008;3122;0;49;25635;0;2625;94262;;;;;
2022;02/2022;Espírito Santo;Campos;ARGONAUTA;7-ARGO-3H-ESS;Mar;FPSO ESPIRITO SANTO;580;10916;0;35;4985;0;17065;67773;;;;;
